0	0	采荷一小是分校吧	杭州市采荷第一小学钱江苑校区，杭州市钱江新城实验学校。	1
0	1	采荷一小是分校吧	是的	0
0	2	采荷一小是分校吧	这是5楼	0
1	0	毛坯吗？	因为公积金贷款贷的少	0
1	1	毛坯吗？	是呢	0
1	2	毛坯吗？	这套一楼带院的，您看看	0
1	3	毛坯吗？	房本都是五年外的	0
1	4	毛坯吗？	好的??，您先看下	0
3	0	靠近川沙路嘛？	正常银行贷款，可以自己还的	0
3	1	靠近川沙路嘛？	有一点靠近川沙路	1
3	2	靠近川沙路嘛？	只有那一套毛坯的不靠近川沙路	0
4	0	这套房源价格还有优惠空间吗？	有	1
4	1	这套房源价格还有优惠空间吗？	河西区海河沿线的新房，均价30000，带装修，看看去吗，优惠点位很大，五一特惠	0
4	2	这套房源价格还有优惠空间吗？	宾水里，肿瘤医院地铁5-6号线旁，私产过五年唯一，3楼，南北通透偏独，业主着急卖，看房有钥匙	0
5	0	这个税多少钱	您看看这个	0
5	1	这个税多少钱	13楼，精装修的/ 	0
5	2	这个税多少钱	您现在方便吗 	0
5	3	这个税多少钱	可以先线上带您看一下 	0
5	4	这个税多少钱	您稍等一下，给您发链接您点进来就行 	0
6	0	这套房源价格还有优惠空间么？	价格周期可谈	1
6	1	这套房源价格还有优惠空间么？	您好	0
6	2	这套房源价格还有优惠空间么？	您好，您之前咨询的房源户型很优质，您有时间去看看吗？	0
8	0	光线不好，是吗	光线非常好，友联花园都是可以	1
8	1	光线不好，是吗	你点开图片，逐一看看	0
8	2	光线不好，是吗	?	0
9	0	几期的？	是的	0
9	1	几期的？	这个是二期的老师	1
9	2	几期的？	还有的	0
9	3	几期的？	二期都刚下证今年	0
9	4	几期的？	一期的有免税的了	0
10	0	什么情况呢？	我们下班比较晚，现在也能看房	0
10	1	什么情况呢？	哦	0
10	2	什么情况呢？	大概是这样的	0
10	3	什么情况呢？	偶尔也会根据成交价格稍微有一点儿浮动	0
10	4	什么情况呢？	不过这种找房子浮动空间都不大	0
11	0	这套房源价格还有优惠空间吗？	这套房子价格还有空间	1
11	1	这套房源价格还有优惠空间吗？	具体要看您付款方式	1
12	0	边户吗？	对的，	0
12	1	边户吗？	三向的，	0
12	2	边户吗？	您想了解一下什么，	0
13	0	明天还得去看一下这套	明天去看看咯，10点，女朋友妈妈也看看	0
13	1	明天还得去看一下这套	我帮你查下啦，刚到家，我看下系统	0
13	2	明天还得去看一下这套	我今天跑到亚运城看新房了，累死了?，五一太火爆了	0
14	0	看房方便吗	这套房子在4楼，是中层楼	0
14	1	看房方便吗	你好	0
14	2	看房方便吗	七八户???	0
15	0	这个小区配套哪个小学和中学	小学是砂子塘万科魅力之城小学	1
15	1	这个小区配套哪个小学和中学	中学是微机派位的	1
15	2	这个小区配套哪个小学和中学	附近的有雅礼雨花、一中新华都、南雅中学这些	1
15	3	这个小区配套哪个小学和中学	最近的是雅礼雨花和一中新华都	1
17	0	价格最低多少卖？	没有说，但是估计少不到多少	1
17	1	价格最低多少卖？	3楼房子卖了	0
17	2	价格最低多少卖？	这套房子可以哟	0
18	0	采光怎么样呢？	随时可以看房的	0
18	1	采光怎么样呢？	今天有时间吗	0
18	2	采光怎么样呢？	我拿好钥匙可以直接现场看的	0
18	3	采光怎么样呢？	好的 就考虑义堂这块小三室吗	0
18	4	采光怎么样呢？	只看二环里吗？	0
19	0	想看一下房子	可以啊	1
19	1	想看一下房子	您什么时候看	1
19	2	想看一下房子	好的	0
20	0	这个房子价格能谈吗	您好	0
20	1	这个房子价格能谈吗	价格可以谈	1
20	2	这个房子价格能谈吗	水仙的	0
21	0	我想看看碧桂园的房子。	OK	0
21	1	我想看看碧桂园的房子。	OK	0
21	2	我想看看碧桂园的房子。	 可以的	1
23	0	这是一期吗	约哈。去看哈嘛	0
23	1	这是一期吗	确定	0
23	2	这是一期吗	我上个月才卖了得	0
23	3	这是一期吗	大概几分钟吧	0
23	4	这是一期吗	亲爱的你点好多	0
24	0	您好，我想看一下这房子	?	0
24	1	您好，我想看一下这房子	我给您发个vr	0
24	2	您好，我想看一下这房子	怎么了？	0
25	0	您好，请问这个户型有啥优缺点	链家NAME很高兴为您服务	0
25	1	您好，请问这个户型有啥优缺点	永丰楼   6楼到顶的5楼	1
25	2	您好，请问这个户型有啥优缺点	南北通透的两室	1
25	3	您好，请问这个户型有啥优缺点	私产  满五年	1
25	4	您好，请问这个户型有啥优缺点	性价比挺合适的	1
26	0	临街吗	靠百色路	1
26	1	临街吗	电梯房考虑吗	0
26	2	临街吗	嗯	0
27	0	先看房子嘛	这几套房子是幸福时光里的，离长生桥轻轨站很近，	0
27	1	先看房子嘛	您从那边过来	0
27	2	先看房子嘛	自己开车还是轻轨	0
28	0	您好，请问这个房子周边有哪些学校	可以申请	0
28	1	您好，请问这个房子周边有哪些学校	可园小学中学，木棉湾小学中学都可以上	1
28	2	您好，请问这个房子周边有哪些学校	百合学校分区，只有龙岗区才能上，以近距离录取分数线准	1
28	3	您好，请问这个房子周边有哪些学校	教育局网	0
28	4	您好，请问这个房子周边有哪些学校	申请	0
